neighbourhood,inhabitants,average_age,inhabitants_up_to_17_years_in_%.,inhabitants_from_18_to_64_years_in_%.,inhabitants_from_65_years_in_%,foreigners_in_%,germans_with_migration_background_in_%,germans_without_migration_background_in_%,population_development_(5-year_comparison),households,single-person_households_in_%,families_with_children_in_%,pupils_at_general_education_schools,proportion_of_students_transferring_to_gymnasium,employment_density,unemployment_density,social_benefits,total_households,until_1000€,over_1000_until_3000€,over_3000_until_5000€,over_5000€,median_income_€
Altstadt,4255,42.4,11.891891891891891,72.50293772032903,15.605170387779083,36.45123384253819,23.45475910693302,40.09400705052879,8.077216154432309,2723,64.08373117884686,12.302607418288652,0,0.0,59.6,5.8,121.0,1070.0,23.0,375.0,392.0,280.0,3641.0
Innenstadt,6550,41.4,8.870229007633588,76.87022900763358,14.259541984732824,45.541984732824424,19.267175572519083,35.19083969465649,-4.754980369347099,4491,69.33867735470942,8.082832331329325,720,67.2,62.4,5.1,144.7,1929.0,175.0,776.0,556.0,422.0,3039.0
Bahnhofsviertel,3703,37.7,8.20955981636511,84.90413178503916,6.886308398595733,49.98649743451256,14.474750202538482,35.53875236294896,-5.390904445579969,2530,70.35573122529644,7.1146245059288535,328,41.4,60.7,7.0,207.1,2741.0,100.0,1040.0,779.0,822.0,3492.0
Westend-Süd,19318,40.3,15.824619525830832,69.65006729475101,14.52531317941816,27.290609793974532,19.846775028470855,52.8626151775546,8.430624158060171,11500,58.68695652173913,16.713043478260868,3938,88.3,60.4,1.6,29.0,5420.0,94.0,712.0,1426.0,3188.0,5566.0
Westend-Nord,10330,39.1,16.37947725072604,69.06098741529526,14.559535333978703,28.789932236205228,24.646660212971927,46.563407550822845,4.396159676604346,5881,54.93963611630675,17.37799693929604,2408,87.4,55.8,2.5,78.5,2400.0,56.0,530.0,722.0,1092.0,4736.0
Nordend-West,30975,40.6,14.640839386602098,71.21226795803067,14.146892655367232,21.35270379338176,18.673123486682808,59.974172719935424,2.261472433146253,18663,59.86175855971709,15.60842308310561,4071,74.5,63.7,2.3,47.5,8807.0,161.0,1846.0,3056.0,3744.0,4528.0
Nordend-Ost,23135,41.2,13.032202290901232,72.8549816295656,14.112816079533175,22.260644045818026,18.517397881996974,59.221958072185004,0.6701187937861712,14700,63.843537414965986,13.931972789115646,1164,54.2,64.6,2.8,72.9,5570.0,83.0,1264.0,2211.0,2012.0,4239.0
Ostend,29704,41.9,12.782790196606518,71.67721518987342,15.539994613520065,28.53487745758147,21.53582009157016,49.92930245084837,7.029870644614997,18157,60.54965027262213,13.697196673459272,4116,69.4,64.0,3.6,95.0,8772.0,171.0,2414.0,3403.0,2784.0,3750.0
Bornheim,30761,43.0,14.069763661779525,68.06670784434836,17.86352849387211,23.77686031013296,22.232697246513442,53.9904424433536,1.648932654814619,18862,62.26805216838087,14.982504506415014,1189,49.7,63.4,3.5,106.3,9653.0,199.0,3170.0,3795.0,2489.0,3691.0
Gutleutviertel,6786,41.5,10.727969348659004,75.21367521367522,14.058355437665783,42.381373415856174,18.464485705865016,39.15414087827881,-2.401840931971811,4312,65.05102040816327,10.111317254174397,185,0.0,60.5,8.1,188.0,2496.0,45.0,577.0,877.0,997.0,4398.0
