region,total_work_region,men,women,germans,foreigners,15_to_25_years,25_to_55_years,55_to_65_years,without_professional_qualification,with_professional_qualification,with_academic_degree,total_home_region
Deutschland,3304.472944777932,3468.063067359558,3013.9715257038747,3402.742714915848,2529.8646074097346,2407.5858091576374,3351.2415581497676,3533.5095746639663,2460.516594756057,3189.1738837758503,5113.412289478072,3312.149490733584
"Flensburg, Stadt",3102.1172506738544,3273.8407079646017,2799.9755244755243,3199.6310160427806,1884.7105263157894,2127.2045454545455,3102.9725274725274,3516.3088235294117,2018.357142857143,3120.636518771331,4585.727272727273,2842.4753086419755
"Kiel, Landeshauptstadt",3404.1302032913845,3557.501795332136,3198.8568075117373,3443.969591226321,2486.706896551724,2310.340425531915,3398.0992317541613,3794.640625,2428.8783783783783,3266.1694312796208,4997.518348623853,3251.9182058047495
"Lübeck, Hansestadt",3116.761061946903,3196.8031423290204,2992.3449197860964,3207.49200913242,2072.9609375,2207.1666666666665,3137.9821683309556,3411.3695652173915,2210.9166666666665,3092.9025974025976,4897.722222222223,3102.897743300423
"Neumünster, Stadt",2941.2798165137615,2994.478102189781,2777.7727272727275,2979.658878504673,2351.8513513513512,2267.1666666666665,2969.173218673219,3102.9752475247524,2365.0454545454545,2959.9951923076924,4928.384615384615,2901.8342696629215
Dithmarschen,2983.8333333333335,3159.7350746268658,2498.576923076923,3041.7564766839378,1978.7051282051282,2313.2551020408164,2992.94966442953,3334.7105263157896,2245.1969696969695,3020.0684523809523,5218.681818181818,3052.262114537445
Herzogtum Lauenburg,2942.3947368421054,3062.289297658863,2674.3924050632913,3012.134199134199,2151.4803921568628,2233.6632653061224,2975.2881355932204,3169.785714285714,2145,2952.2396907216494,5271.7962962962965,3291.177966101695
Nordfriesland,2843.8730715287516,3000.1361746361745,2463.059241706161,2895.002407704655,2088.5281690140846,2243.3571428571427,2881.3888888888887,3047.0073529411766,2193.753968253968,2883.2212806026364,4151.081395348837,2841.108108108108
Ostholstein,2696.9714714714714,2800.807881773399,2500.1963562753035,2743.0219941348973,2021.0223880597016,2162.7093023255816,2715.3058252427186,2915.155172413793,2208.4710144927535,2722.5970537261696,4558,2961.4870317002883
Pinneberg,3115.9651162790697,3234.5408805031448,2850.1996996996995,3211.6510791366904,2291.2801418439717,2277.6844660194174,3152.950980392157,3351.8513513513512,2332.0533980582522,3115.1088957055213,5181.829113924051,3387.1177818515125
Plön,2868.193661971831,2982.287330316742,2590.24358974359,2907.8,2154.0714285714284,2225.5,2910.4747474747473,3018.0438596491226,2234.759259259259,2883.8333333333335,4436.958333333333,3265.5134048257373
Rendsburg-Eckernförde,3034.059622195986,3161.345588235294,2708.683856502242,3067.7458172458173,2179.9871794871797,2290.9605263157896,3054.258445945946,3270.42385786802,2315.4122807017543,3007.663323782235,4754.666666666667,3240.9761904761904
Schleswig-Flensburg,2798.6071428571427,2883.200650759219,2569.6176470588234,2823.5,2239.086956521739,2250.1710526315787,2830.526690391459,2956.473451327434,2304.826923076923,2813.7770870337476,4081,2988.9232954545455
Segeberg,3127.8668639053253,3221.3536585365855,2932.172025723473,3202.7988505747126,2226.9462809917354,2239.923076923077,3182.940476190476,3336.456790123457,2349.3317757009345,3098.9397163120566,5155.241379310345,3329.588785046729
Steinburg,3085.4242424242425,3239.771653543307,2755.2619047619046,3121.779761904762,2363.5,2383.8333333333335,3117.1330645161293,3337.1438356164385,2303.2027027027025,3071.067375886525,5014.041666666667,3150.2938144329896
Stormarn,3126.4248210023866,3226.5229132569557,2900.2413793103447,3215.1158463385354,2209.9405594405594,2259.520618556701,3158.0607902735564,3340.3529411764707,2333.0520833333335,3120.5698757763976,4874.858974358975,3557.129055007052
"Hamburg, Freie und Hansestadt",3717.5673076923076,4010.186876247505,3370.7570025989025,3836.5612623762377,2580.212189616253,2392.880617977528,3758.7477014602487,4095.1774193548385,2486.3151476251605,3499.356061970816,5103.981481481482,3530.4608876117495
"Braunschweig, Stadt",3526.5141987829616,3831.1451612903224,3140.781690140845,3593.387154861945,2510.794117647059,2306.970588235294,3592.1666666666665,3772.3934911242604,2074.5384615384614,3314.2624466571833,5004.440217391304,3789.4267461669506
"Salzgitter, Stadt",4256.917624521073,4393.231829573935,3490.5,4334.0093896713615,3364.8939393939395,3407.6428571428573,4279.471354166667,4425.5,3142.1666666666665,4210.906698564593,6176.1578947368425,3612.9538745387454
"Wolfsburg, Stadt",4893.113065326633,5115.220812182741,4249.968085106383,4960.9838709677415,4407.196428571428,2925.5,4946.360284605434,5170.218309859155,2397.84375,4640.81374501992,> 6.500,4528.0751072961375
Gifhorn,3247.776536312849,3460.029702970297,2712.8655913978496,3284.173469387755,2517.5,2395.3529411764707,3370.914847161572,3179.0714285714284,2515.651515151515,3074.0576923076924,5288.520833333333,4169.075851393189
